시장명,소재지도로명주소,Latitude,Longitude,소재지지번주소,사용가능상품권,공중화장실보유여부,주차장보유여부
중앙시장,강원도 강릉시 금성로 21,37.7540213,128.8986219,강원 강릉시 성남동 50번지 ,온누리상품권,Y,Y
강릉동부시장,강원도 강릉시 옥천로 48,37.7600071,128.9009049,강원 강릉시 옥천동 223번지 ,없음,Y,N
강릉서부시장,강원도 강릉시 임영로 155번길 6,37.7550872,128.890803,강원 강릉시 용강동 29번지 ,온누리상품권,Y,Y
주문진종합시장,강원도 강릉시 주문진읍 구 시장길,37.8902706,128.8273912,강원 강릉시 주문진읍 주문리 321-52번지 ,온누리상품권,Y,Y
주문진수산시장,강원도 강릉시 주문진읍 시장1길 4-1,37.8911982,128.8278244,강원 강릉시 주문진읍 주문리 312-91번지 ,온누리상품권,Y,Y
강릉성남시장,강원도 강릉시 중앙시장길 16,37.7533592,128.8981859,강원 강릉시 성남동 53-8번지 ,온누리상품권,Y,Y
간성시장,강원도 고성군 간성시장 2길 11-1,38.3802568,128.4697851,강원 고성군 간성읍 신안리 262번지 ,온누리상품권,Y,Y
거진시장,강원도 고성군 거진읍 거진시장길 15,38.4477347,128.4541926,강원 고성군 거진읍 거진리 272번지 ,온누리상품권,Y,Y
북평민속시장,강원도 동해시 북평 오일장길 32,37.480166,129.1271045,강원 동해시 구미동 497-11번지 일원 ,온누리상품권,Y,Y
동쪽바다중앙시장,강원도 동해시 중앙시장길 12,37.5510805,129.1085583,강원 동해시 발한동 12-2번지 일원 ,온누리상품권,Y,Y
도계전두시장,강원도 삼척시 도계읍 전두리 83번지,37.2287984,129.0425354,강원 삼척시 도계읍 전두리 83-2,온누리상품권,Y,Y
삼척번개시장,강원도 삼척시 중앙로 10,37.4306614,129.1785962,강원 삼척시 사직동 50-2,온누리상품권,Y,N
삼척중앙시장,강원도 삼척시 진주로 12-21,37.4421136,129.1652491,강원 삼척시 남양동 55-4,온누리상품권,Y,Y
속초종합중앙시장,강원도 속초시 중앙로 471-4,38.2116673,128.5869131,강원 속초시 중앙동 471-4번지 ,온누리상품권,Y,Y
양구중앙시장,강원도 양구군 양구읍 중앙길 68,38.1040933,127.9892027,강원 양구군 양구읍 상리 235번지 ,온누리상품권,Y,Y
양양전통시장,강원도 양양군 양양읍 남문로 5길 4-1,38.0750146,128.6222568,강원 양양군 양양읍 남문리 57-1번지 ,온누리상품권,Y,Y
