주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,관리기관명,전화번호
횡계의원 뒤 1주차장,공영,노외,강원도 평창군 대관령면 축제길 40,강원도 평창군 대관령면 횡계리 321-10,28,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
횡계의원 뒤 2주차장,공영,노외,강원도 평창군 대관령면 축제길 36,강원도 평창군 대관령면 횡계리 337-8,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
오삼불고기거리 주차장,공영,노외,강원도 평창군 대관령면 횡계2길 3-3,강원도 평창군 대관령면 횡계리 325-10,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 1주차장,공영,노외,강원도 평창군 대관령면 횡계2길 331-28,강원도 평창군 대관령면 횡계리 331-28,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 2주차장,공영,노외,강원도 평창군 대관령면 횡계2길 16,강원도 평창군 대관령면 횡계리 331-12,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 3주차장,공영,노외,강원도 평창군 대관령면 눈마을길 57,강원도 평창군 대관령면 횡계리 331-47,11,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
흥일회관 앞 주차장,공영,노외,강원도 평창군 대관령면 횡계3길 3,강원도 평창군 대관령면 횡계리 665,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
용평생활관 앞 주차장,공영,노외,강원도 평창군 대관령면 횡계3길 14,강원도 평창군 대관령면 횡계리 331-1,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
횡계초등학교 앞 주차장,공영,노외,강원도 평창군 대관령면 꽃밭양지길 16-3,강원도 평창군 대관령면 횡계리 661-50,110,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
제칠안식교회 뒤 주차장,공영,노외,강원도 평창군 대관령면 눈마을길 27,강원도 평창군 대관령면 횡계리 314-24,51,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
로얄장 앞 주차장,민영,노외,강원도 평창군 평창읍 백오로 73,강원도 평창군 평창읍 하리 73-3,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
장평농협뒤 주차장,민영,노외,강원도 평창군 용평면 경강로 1667,강원도 평창군 용평면 장평리 365-6,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
