축제명,축제유형,개최기간,개최장소,개최방식,담당자,연락처
춘천호수 드론 라이트쇼,문화예술 ,5월중,중도동 357-41 일대,대면,신민아,033-250-3072
춘천막국수닭갈비축제,특산물(먹거리),5월중,중도동 357-41 일대,대면,이정헌,033-250-3068
2024 온세대 합창페스티벌,문화예술,8월중,춘천문화예술회관,대면,김찬미,033-259-5826
2024 석사천 재즈 페스타,문화예술,10월중,석사천 일원,대면,이경진,033-259-5452
2024 춘베리아 특급열차,문화예술,12월중,미정,대면,이경진,033-259-5453
제45회 소양강문화제,문화예술,09.28.~09.29.,시청 호반광장,대면,이정아,033-250-3061
제36회 춘천인형극제,문화예술,08.01.~12.26.,춘천인형극장 및 춘천시내 일원,대면,민성은,033-250-3067
춘천 토이페스티벌,기타(관광),10월 중,서면 애니메이션박물관 일원,대면,이원희,033-250-4813
춘천마임축제,문화예술,05.26.~06.02,"레고랜드 주차장, 몸짓극장 등",대면,염진희,033-250-3485
춘천연극제,문화예술,6.28.~10.19.,"봄내극장, 석사천 등",대면,조유영,033-250-3226
제23회 섬강축제,생태자연,08.23.~08.25.,간현관광지 주차장,대면,류설아,033-737-5125
제18회 원주 용수골 꽃양귀비축제,생태자연,5월중 ,판부면 서곡리,대면,류설아,033-737-5125
제21회 장미축제,기타,05.29.~06.02.,단계동 장미공원,대면,류설아,033-737-5125
2024 원주 댄싱카니발,문화예술,10.03.~10.05.,원주 댄싱공연장 일원,대면,신호섭,033-737-5123
제26회 원주한지문화제,문화예술,10.03.~10.06.,원주한지테마파크 일원,대면,신호섭,033-737-5123
치악산 찰옥수수 축제,특산물,7월 중,문막체육공원,대면,엄일식, 033-737-4131
치악산 복숭아 축제,특산물,8월 중,댄싱공원장 일원,대면,엄일식, 033-737-4131
치악산 고구마 축제,특산물,11월 중,간현관광지 일원,대면,엄일식, 033-737-4131
2024 경포 벚꽃 축제,자연,03.29.~04.03.,경포대 및 경포호 일원,대면,이수연,033-640-5130
강남동 새봄맞이 축제,생태자연,03.31.~04.02.,남산 근린공원,대면,이예담 ,033-660-2604
솔올 동행축제,자연,3월 말 ~ 4월 초,솔올동행축제,대면,남동우,033-660-3797
제2회 초당미식로드축제 「초당도시락(樂)」,기타,5월중,"국립강릉원주대 해람홍보관
(초당순두부길 86)",대면,이송,033-640-5130
강릉단오제,전통역사,06.06.~06.13.,강릉남대천 일원,대면,홍지화,033-640-5580
제3회 강릉 비치비어페스티벌,기타,06.28.~06.30.,경포해변 중앙광장,대면,이수연,033-640-5130
풍호마을축제,기타,07.26.~07.28.,강동면 풍호길 100-1,대면,최지경,033-640-5167
2024 경포 썸머페스티벌,기타,07.31.~08.04.,경포해변,대면,이수연,033-640-5130
주문진 해변축제,특산물,08.02.~08.04.,주문진해변,대면,최진오,033-660-3426
강릉문화재야행,기타,09.05.~09.07.,강릉대도호부관아 일원,대면,정지원,033-640-5585
제2회 경포 등 축제,기타,09.14.~09.18.,강릉시 습지광장 및 경포대 일원,대면,원영실,033-640-5904
제16회 강릉커피축제,기타,10.03.~10.06.,강릉올림픽파크 일원,대면,이해연,033-640-5049
제3회 강릉 누들축제,특산물,10.25.~10.27.,월화거리,대면,이수연,033-640-5130
제3회 강릉와인축제,기타,11월중,강릉월화거리 일원,대면,이해연,033-640-5049
제4회 강릉크리스마스 겨울축제,기타,12.21.~12.25.,강릉월화거리 일원,대면,이해연,033-640-5049
2025 해돋이 행사,기타,12.31.~01.01.,"경포해변, 정동진",대면,이수연,033-640-5130
제11회 전천제,"문화예술, 주민화합",4월중,북평동 전천일원,대면,김미진,033-539-8034
동해항 크랩킹페스타,특산물,04.12.~04.14.,북평제2일반산업단지일원,대면,조정애,033-539-8417
제6회 묵호등대 논골담길 축제,문화예술,06.15.~06.16.,묵호항 수변공원,대면,박정윤,033-539-8522
제2회 무릉별유천지 라벤더 축제,생태자연,06.04.~06.21.,무릉별유천지,대면,심정현,033-539-8804
묵호도째비페스타,특산물,07.12.~07.14.,묵호항여객터미널일원,대면,조정애,033-539-8417
제4회 송정막걸리 축제,기타(주민화합 등),9월중,송정동 관내 일원,대면,최호진,033-539-8494
동해무릉제,주민화합,09.27.~09.28.,동해웰빙스포츠타운일원,대면,조정애,033-539-8417
제 31회 태백산 눈축제 ,생태자연 ,2024.1.26.~2.4.,태백산국립공원일원 ,대면 ,김서희,033-550-2349
한강낙동강발원지 축제 ,문화예술 ,7월중,황지연못 일원 ,대면 ,김서희,033-550-2349
태백제 ,주민화합,10월중,태백종합운동장 ,대면 ,김서희,033-550-2349
태백 천상의 산나물축제,생태자연 ,04.26.~04.28.,장성문화복합센터,대면 ,박근성,033-550-2681
설악벚꽃축제,생태자연,03.30.~03.31.,상도문솥밭,대면,김현정,033-639-2904
2024 영랑호 벚꽃축제,생태자연,04.06.~04.07.,영랑호 일원,대면,김지혜,033-639-2545
2024 실향민문화축제,문화예술,6월 초,"엑스포 잔디광장, 아바이마을",혼합형,김정미,033-636-0670
2024 속초썸머페스티벌,문화예술,7~8월 ,속초해수욕장,대면,김지혜,033-639-2545
2024 속초음식축제,특산물,10월 중순,엑스포타워 광장,대면,김지혜,033-639-2545
제59회 설악문화제,문화예술,10.04.~10.06.,설악로데오거리. 엑스포 잔디광장,혼합형,김정미,033-636-0670
속초시민 새해맞이 축제,문화예술,12.31.~25.01.01.,"엑스포 광장, 속초해수욕장",대면,김지혜,033-639-2545
삼척정월대보름제,전통역사,02.23.~02.25.,엑스포광장 및 삼척해수욕장 일원,대면,손동환,033-570-3225
제20회삼척맹방유채꽃축제,생태자연,04.06.~04.14.,근덕면 상맹방리 일원,대면,신태호,033-570-3375
2024 삼척 장미축제,생태자연,05.18.~05.22.,삼척 장미공원,대면,김종욱,033-570-3081
제11회 두타산 산나물축제,기타(주민화합 등),05.24.~05.26.,하장면 번천리 임산물복합체험센터 일원,대면,오근호,033-570-3925
제15회 삼척평생학습박람회 및 제5회 책축제,기타(박람회 등),10.19.~10.20.,삼척문화예술회관 및 삼척시청소년수련관 일원,대면,신지후/권혜영,033-570-4432/4448
제12회 홍천강 꽁꽁축제,전통역사,01.05.~01.21.,홍천강변 일원,대면,이민영,033-430-2472
제8회 홍천강 별빛음악 맥주축제,특산물,8월초,토리숲 일원,대면,이민영,033-430-2472
제6회 홍천산나물축제,특산물,4월말,홍천시내 및 강변일원,대면,김원규,033-430-2762
제28회 홍천찰옥수수축제,특산물,7월말,홍천시내 및 강변일원,대면,박승주,033-430-2694
제22회 강원홍천 인삼한우 명품축제,특산물,10월초,홍천시내 및 강변일원,대면,허찬숙,033-430-2720
제9회 홍천사과축제,특산물,11월초,홍천시내 및 강변일원,대면,윤예린,033-430-4173
제13회 둔내고랭지토마토축제,특산물,8월중,둔내종합체육공원,대면,김병호,033-340-5952
제11회 횡성더덕축제,특산물,9월중,농거리축제장,대면,김병호,033-340-5952
제16회 안흥찐빵축제,특산물,10월중,안흥찐빵모락모락마을,대면,김병호,033-340-5952
제20회 횡성한우축제,특산물,10월중,종합운동장 일원,대면,김병호,033-340-5952
제5회 횡성호수길축제,생태자연,5월중,망향의 동산 일원,대면,김병호,033-340-5952
