구분,화장실명,소재지도로명주소,소재지지번주소,전화번호,개방시간상세
개방화장실,강동구의회 화장실,서울특별시 강동구 성내로 55,서울특별시 강동구 성내동 541-1,02-3425-7365,09:00~18:00
공중화장실,삼표에너지 고덕주유소,서울특별시 강동구 고덕로 39,서울특별시 강동구 암사동 441-13,02-441-3327,06:00~24:00
공중화장실,㈜소모에너지 신월주유소,서울특별시 강동구 양재대로 1323,서울특별시 강동구 성내동 439-19,02-6956-6674,06:00~24:00
공중화장실,대성석유㈜ 길동주유소,서울특별시 강동구 천호대로 1168,서울특별시 강동구 둔촌동 66-1,02-474-7222,06:00~22:00
공중화장실,재건에너지재정제2주유소고속셀프지점,서울특별시 강동구 천호대로 1246,서울특별시 강동구 둔촌동 600-1,02-487-2030,06:00~24:00
공중화장실,명일주유소,서울특별시 강동구 고덕로168,서울특별시 강동구 명일동 305-51,02-3428-2739,06:00~21:00
공중화장실,천호 현대주유소,서울특별시 강동구 천중로 67,서울특별시 강동구 천호동 308-11,02-484-9323,06:00~24:00
공중화장실,구천면 주유소,서울특별시 강동구 구천면로 357,서울특별시 강동구 암사동 425-187,02-441-0536,06:00~23:30
공중화장실,㈜퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556,서울특별시 강동구 성내동 319-1,02-484-1162,05:00~24:00
공중화장실,방아다리 주유소,서울특별시 강동구 동남로 811,서울특별시 강동구 명일동 216-5,02-442-5145,05:00~24:00
공중화장실,해뜨는 주유소,서울특별시 강동구 상일로 132,서울특별시 강동구 강일동 712,02-442-5145,05:00~24:00
공중화장실,서울 암사동 유적 화장실,서울특별시 강동구 올림픽로 875,서울특별시 강동구 암사동 139-2,02-3425-6520,09:30~18:00
개방화장실,강동구보건소 화장실,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,02-3425-6604,09:00~18:00
개방화장실,강일동주민센터 화장실,서울특별시 강동구 아리수로93길9-14,서울특별시 강동구 강일동 678,02-3425-7400,(평일)09:00~18:00
개방화장실,상일1동 주민센터 화장실,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,02-2600-7895,(평일)09:00~18:00
개방화장실,상일2동주민센터 화장실,서울특별시 강동구 상일로6길 51,서울특별시 강동구 상일동 502-2,02-2041-7707,(평일)09:00~18:00
개방화장실,명일1동 주민센터 화장실,서울특별시 강동구 양재대로1634,서울특별시 강동구 명일동 312-99,02-3425-7460,(평일)09:00~18:00
개방화장실,명일2동주민센터 화장실,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,02-3425-7490,(평일)09:00~18:00
개방화장실,고덕1동주민센터 화장실,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,02-3425-7520,(평일)09:00~18:00
개방화장실,고덕2동주민센터 화장실,서울특별시 강동구 아리수로78길 43-12,서울특별시 강동구 고덕동 226-4,02-3425-7550,(평일)09:00~18:00
개방화장실,암사1동주민센터 화장실,서울특별시 강동구 올림로98가길 57,서울특별시 강동구 암사동 493-13,02-3425-7580,(평일)09:00~18:00
개방화장실,암사1동 자치회관 화장실,서울특별시 고덕로24길 49,서울특별시 강동구 암사동 474-6,02-442-2592,(평일)09:00~18:00
개방화장실,암사2동주민센터 화장실,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,02-3425-7610,(평일)09:00~18:00
개방화장실,암사3동주민센터 화장실,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,02-3425-7648,(평일)09:00~18:00
개방화장실,천호1동주민센터 화장실,서울특별시 강동구 구천면로42길 59,"서울특별시 강동구 천호동 76-2, 천호1동주민센터",02-3425-7670,(평일)09:00~18:00
개방화장실,성내3동 주민센터 화장실,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,02-3425-7822,(평일)09:00~18:00
개방화장실,둔촌2동주민센터 화장실,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,02-3425-7910,(평일)09:00~18:00
개방화장실,중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,온조대왕문화체육관 화장실,서울특별시  강동구 고덕로 285,서울특별시 강동구 고덕동 296,02-2045-7800,06:00~22:00
개방화장실,강동유소년스포츠센터 화장실,서울특별시 강동구 상일로12길 60,서울특별시 강동구 상일동 483,02-3428-7979,09:00~22:00
개방화장실,명일테니스장 화장실,서울특별시 강동구 동남로 785,서울특별시 강동구 명일동 221-1,02-2045-7870,06:00~22:00
개방화장실,강일테니스장 화장실,서울특별시 강동구 아리수로93가길 314,서울특별시 강동구 강일동156-7일원(강동대교 하무),02-2045-7872,06:00~22:00
개방화장실,샘터배드민턴장 화장실,서울특별시 강동구 동남로 990,서울특별시 강동구 고덕동 287,02-2045-7875,06:00~22:00
개방화장실,강동구민회관 화장실,서울특별시 강동구 상암로 168,서울특별시 강동구 천호1동 41번지,02-488-5542,09:00~22:00
개방화장실,민속의집 화장실,서울특별시 강동구 고덕로83길 55,서울특별시 강동구 고덕동 215,02-2045-7640,09:00~18:00
개방화장실,해공문화체육관 화장실,서울특별시 강동구 천중로 18길 61,서울특별시 강동구 천호동 399-1,02-2045-7651,06:00~22:00
개방화장실,일자산1체육관 화장실,서울특별시 강동구 동남로 660,서울특별시 강동구 둔촌동 산140,02-2045-7860,06:00~22:00
개방화장실,일자산2체육관 화장실,서울특별시 강동구 동남로 620,서울특별시 강동구 둔촌동 산14-1,202-045-7864,06:00~22:00
개방화장실,암사선사유적지 화장실,서울특별시 강동구 올림픽로 875,서울특별시 강동구 암사동 139-2,02-3425-6532,09:30~18:00
개방화장실,서경빌딩,서울특별시 강동구 성내로 19,서울특별시 강동구 성내1동 539-3,02-485-0902,06:00~24:00
개방화장실,브라운스톤 천호,서울특별시 강동구 천호대로 1006,서울특별시 강동구 성내2동 64-13,02-474-0637,06:00~24:00
개방화장실,홍익빌딩,서울특별시 강동구 천호대로 1124,서울특별시 강동구 성내3동 244-3,02-471-0993,07:00~24:00
개방화장실,선린빌딩,서울특별시 강동구 양재대로 1448,서울특별시 강동구 길동 440,02-470-9349,06:00~24:00
개방화장실,동우빌딩,서울특별시 강동구 양재대로 1443,서울특별시 강동구 길동 458-5,02-484-8033,08:00~22:00
개방화장실,중부빌딩,서울특별시 강동구 천호대로 1135,서울특별시 강동구 길동 459-2,02-470-9956,07:00~23:00
개방화장실,일성오피스텔,서울특별시 강동구 천호대로 1121,서울특별시 강동구 길동 454-1,02-471-6607,07:00~23:00
개방화장실,힐탑오피스텔,서울특별시 강동구 천호대로 1073,서울특별시 강동구 천호3동 449-49,02-473-1281,07:00~23:00
개방화장실,의정부 부대찌개,서울특별시 강동구 올림픽로 795,서울특별시 강동구 암사동 503-21,02-3426-6651,08:00~20:00
개방화장실,삼정빌딩,서울특별시 강동구 올림픽로 769,서울특별시 강동구 암사2동 512-17,02-3426-2691,06:00~24:00
개방화장실,남해빌딩,서울특별시 강동구 양재대로 1517,서울특별시 강동구 천호3동 51-7,02-477-2757,06:00~24:00
개방화장실,시온캐슬빌딩,서울특별시 강동구 양재대로 1661,서울특별시 강동구 명일동 306-1,02-481-4488,07:00~23:00
개방화장실,강동그린타워,서울특별시 강동구 천호대로 1139,서울특별시 강동구 길동 459-3,02-483-0046,06:00~24:00
개방화장실,강일타워오피스텔,서울특별시 강동구 아리수로93길 27,서울특별시 강동구 강일동 675-1,02-442-4671,07:00~23:00
개방화장실,나비상가,서울특별시 강동구 천호대로157길 14,서울특별시 강동구 천호동 453-19,02-6207-0200,08:00~24:00
개방화장실,신성통상,서울특별시 강동구 풍성로63길 84,서울특별시 강동구 둔촌동 444,02-3709-9482,06:30~22:00
개방화장실,암사시장 고객화장실,서울특별시 강동구 상암로 11길 8,서울특별시 강동구 암사동 496-16,02-442-1040,08:00~20:00
개방화장실,3관 1층 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,2관 1층 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,종합재활센터 1층 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,별관 1층 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,장례식장 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,보훈의학연구소 1층 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,치과병원 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
개방화장실,한전강동송파지사 화장실,서울특별시 강동구 양재대로 1318,서울특별시 강동구 둔촌동 522-9,02-480-2296,09:00~18:00
개방화장실,강동구청 제1청사 1층 화장실,서울특별시 강동구 성내로 25,서울특별시 강동구 성내동 540,02-3425-5097,(평일)09:00~18:00
개방화장실,강동구청 제2청사 1층 화장실,서울특별시 강동구 성내로 25,서울특별시 강동구 성내동 540,02-3425-5097,(평일)09:00~18:00
개방화장실,강동구청 서관,서울특별시 강동구 성내로 25,서울특별시 강동구 성내동 540,02-3425-5097,(평일)09:00~18:00
개방화장실,강동구청 성안별관,서울특별시 강동구 성내로3가길 19,서울특별시 강동구 성내동 535-8,02-3425-5097,(평일)09:00~18:00
개방화장실,강동구청 고덕별관,서울특별시 강동구 동남로 930,서울특별시 강동구 고덕동 302,02-3425-5097,(평일)09:00~18:00
개방화장실,강동아트센터 화장실,서울특별시 강동구 동남로 870,서울특별시 강동구 상일동 477,02-440-0585,09:00~18:00
개방화장실,둔촌도서관 화장실,서울특별시 강동구 동남로 49길 21-8,서울특별시 강동구 둔촌동 29-11,02-440-0585,09:00~18:00
개방화장실,성내도서관 화장실,서울특별시 강동구 성안로 106-1,서울특별시 강동구 성내동 385,02-440-0585,09:00~18:00
개방화장실,암사도서관 화장실,서울특별시 강동구 고덕로 20길 42,서울특별시 강동구 암사동 471-37,02-440-0585,09:00~18:00
개방화장실,천호도서관 화장실,서울특별시 강동구 성안로 31마길 1,서울특별시 강동구 천호동 174-1,02-440-0585,09:00~18:00
