시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
중앙시장,강원도 강릉시 금성로 21,강원 강릉시 성남동 50번지 ,온누리상품권,Y,Y
강릉동부시장,강원도 강릉시 옥천로 48,강원 강릉시 옥천동 223번지 ,없음,Y,N
강릉서부시장,강원도 강릉시 임영로 155번길 6,강원 강릉시 용강동 29번지 ,온누리상품권,Y,Y
주문진종합시장,강원도 강릉시 주문진읍 구 시장길,강원 강릉시 주문진읍 주문리 321-52번지 ,온누리상품권,Y,Y
주문진수산시장,강원도 강릉시 주문진읍 시장1길 4-1,강원 강릉시 주문진읍 주문리 312-91번지 ,온누리상품권,Y,Y
주문진건어물시장,강원도 강릉시 주문진읍 주문리 해안로 1740,강원 강릉시 주문진읍 주문리 312-56번지 ,온누리상품권,Y,Y
강릉성남시장,강원도 강릉시 중앙시장길 16,강원 강릉시 성남동 53-8번지 ,온누리상품권,Y,Y
간성시장,강원도 고성군 간성시장 2길 11-1,강원 고성군 간성읍 신안리 262번지 ,온누리상품권,Y,Y
거진시장,강원도 고성군 거진읍 거진시장길 15,강원 고성군 거진읍 거진리 272번지 ,온누리상품권,Y,Y
북평민속시장,강원도 동해시 북평 오일장길 32,강원 동해시 구미동 497-11번지 일원 ,온누리상품권,Y,Y
동쪽바다중앙시장,강원도 동해시 중앙시장길 12,강원 동해시 발한동 12-2번지 일원 ,온누리상품권,Y,Y
동해남부재래시장,강원도 동해시 청운1길 29,강원 동해시 동희동 442번지 ,온누리상품권,Y,Y
도계중앙시장,강원도 삼척시 도계읍 도계로 4길 20,강원 삼척시 도계읍 도계리 390-1,없음,Y,Y
도계전두시장,강원도 삼척시 도계읍 전두리 83번지,강원 삼척시 도계읍 전두리 83-2,온누리상품권,Y,Y
삼척번개시장,강원도 삼척시 중앙로 10,강원 삼척시 사직동 50-2,온누리상품권,Y,N
삼척중앙시장,강원도 삼척시 진주로 12-21,강원 삼척시 남양동 55-4,온누리상품권,Y,Y
속초중앙전통시장,강원도 속초시 중앙로 129번길 33,강원 속초시 중앙동 493-3 외 127번지 ,온누리상품권,Y,Y
속초종합중앙시장,강원도 속초시 중앙로 471-4,강원 속초시 중앙동 471-4번지 ,온누리상품권,Y,Y
양구중앙시장,강원도 양구군 양구읍 중앙길 68,강원 양구군 양구읍 상리 235번지 ,온누리상품권,Y,Y
양양전통시장,강원도 양양군 양양읍 남문로 5길 4-1,강원 양양군 양양읍 남문리 57-1번지 ,온누리상품권,Y,Y
서부공설시장,강원도 영월군 영월읍 서부 시장길 8-1,강원 영월군 영월읍 하송리 5-11번지 일원 ,온누리상품권,Y,Y
영월서부시장,강원도 영월군 영월읍 중앙로 30-1,강원 영월군 영월읍 영흥리 947-57번지 일원 ,온누리상품권,Y,Y
영월종합상가시장,강원도 영월군 영월읍 하송안길 8-9,강원 영월군 영월읍 하송리 11-1번지 ,온누리상품권,Y,Y
원주남부시장,강원도 원주시 명륜동 26번지,강원 원주시 명륜1동 26번지 ,온누리상품권,Y,Y
문막시장,강원도 원주시 문막읍 문막시장 1길 52-10,강원 원주시 문막읍 문막리 240-1번지 ,온누리상품권,Y,N
중앙시민전통시장,강원도 원주시 자유 시장길 26,강원 원주시 중앙동 42-3번지 ,온누리상품권,Y,Y
자유시장,강원도 원주시 중앙 시장길,강원 원주시 중앙동 57번지 ,온누리상품권,Y,Y
중앙시장,강원도 원주시 중앙시장길 6,강원 원주시 중앙동 62-55번지 ,온누리상품권,Y,Y
북원상가시장,강원도 원주시 태장 2동 1379-23,강원 원주시 태장동 1379-4번지 외 ,온누리상품권,Y,Y
민속풍물시장,강원도 원주시 평원동 풍물시장길 30,강원 원주시 평원동 134-1번지 ,온누리상품권,Y,N
원통시장,강원도 인제군 북면 원통리 647-5,강원 인제군 북면 원통리 647-6번지 ,온누리상품권,Y,N
인제시장,강원도 인제군 인제읍 비봉로 6번길 10,강원 인제군 인제읍 296-2번지 ,온누리상품권,N,N
고한시장,강원도 정선군 고한읍 고한리 430,강원 정선군 고한읍 고한리 62-430번지 ,온누리상품권,Y,Y
사북시장,강원도 정선군 사북읍 사북2길 6-1,강원 정선군 사북읍 사북리 366-59번지 ,온누리상품권,Y,Y
"임계시장(구,송계시장)",강원도 정선군 임계면 송계5길 10,강원 정선군 임계면 송계5길 10 ,없음,Y,Y
정선아리랑시장,강원도 정선군 정선읍,강원 정선군 정선읍 봉양리 349-20번지 ,온누리상품권,Y,N
신철원시장,강원도 철원군 갈말읍 삼부연로 18번길 8-3,강원 철원군 갈말읍 신철원리 679번지 외  ,온누리상품권,Y,Y
동송전통시장,강원도 철원군 동송읍 이평 680-1,강원 철원군 동송읍 이평 4리 678-7번지 ,온누리상품권,Y,Y
동송시장,강원도 철원군 동송읍 이평4리,강원 철원군 동송읍 이평리 680-1번지 ,온누리상품권,Y,Y
외수시장,강원도 철원군 서면 와수로 184번길 6-3,강원 철원군 서면 와수리 1171-21번지 ,온누리상품권,Y,Y
