축제명,축제유형,개최기간,개최장소,개최방식,담당자,연락처
서울드럼페스티벌,문화예술,5.25~5.26,노들섬,대면,이지선,02-2133-2571
서울뮤직페스티벌,문화예술,9.27~9.29,노들섬,대면,유승운,02-2133-2570
서울국악축제,전통역사,9월 중,미정,대면,김수현,02-2133-2579
서울페스타 2024,문화예술,5.1.~5.6.,"서울광장, 광화문광장 등 서울 전역",대면,변상우,02-2133-2810
서울 바비큐 페스티벌,기타,5.4.~5.5.,노을공원,대면,조세근,02-2133-2828
2024 한강 불빛 공연(드론 라이트 쇼),문화예술,상반기(5~6월) 5회 / 하반기(9~10월) 5회 공연(총 10회 예정),한강공원,대면,오제윤,02-2133-1845
2024년 추석 농수특산물 서울장터,특산물,9.2~9.7중 3일간 예정,서울광장,대면,이영규,02-2133-6668
한강페스티벌,"문화예술, 생태자연","봄: 5. 10.~5. 12.
여름: 7. 26.~8. 11.
가을: 10. 11.~10. 20.
겨울: 12. 20.~12. 25.",한강 수상 및 11개 한강공원 일대,대면,이혜수,02-3780-0718
2024 책읽는 한강공원,문화예술,"5~6월, 9~10월 
매주 토요일","강서한강공원, 여의도한강공원",대면,윤성일,02-3780-0735
제18회 서울안전한마당,안전문화,05.02.~05.04.,여의도공원,대면,안치운,02-3706-1541
2024 서울세계도시문화축제,문화예술,5.25.~26,광화문광장 및 청계광장 일원,대면,강우원,02-2133-5266
서울라이트 한강 빛섬축제 ,문화예술,10.5.~10.13.,여의도한강공원,대면,김백곤,02-2133-1937
서울라이트 광화문,문화예술,24. 12. 20. ~ '25. 1. 12.,광화문 및 광화문광장,대면,안재윤,02-2133-1936
차없는 잠수교 뚜벅뚜벅 축제,문화예술,5.5.~6.23./9.1.~10.27.,잠수교 및 반포한강공원 일대,대면,김보미,02-3780-0760
한강서래섬유채꽃축제,생태자연,05.10.~05.19.,반포한강공원 서래섬,대면,김세정,02-3780-0796
한강종이비행기축제,기타,09.07.,여의도한강공원,대면,김세정,02-3780-0796
2024 서울대공원 벚꽃축제,생태자연,4월 초,호숫가둘레길,대면,임명경,02-500-7022
제24회 서울대공원 장미원축제,생태자연,5.24.~6.9.,테마가든,대면,임명경,02-500-7022
제9회 동물원 밖 동물원,문화예술,10~12월,공원 일대,대면,임명경,02-500-7022
제13회 강남페스티벌,문화예술,9월중,"코엑스, 영동대로, 마루공원 등",혼합형,이민정,02-3423-5534
제5회강남디자인위크,문화예술,5.24.~5.28.,신사동 등,대면,문정은,02-3423-5532
제4회 강남 G-KPOP 콘서트,문화예술,5월중,신사 한강공원(잠원지구),대면,정진호,02-3423-5542
제29회 강동선사문화축제,전통역사,10.11.~10.13.,서울 암사동 유적 일원,대면,이지우,02-3425-5247
419혁명국민문화제,전통역사,4.12.~4.19.,강북구 일원,대면,구경모,02-901-6205
천변라이프 강북페스타2024,문화예술,5.31.~6.2.,우이천 일대,대면,김가영,02-901-6216
제2회 맥주축제,기타(시장활성화),9월중 2일간,강북구 일대,대면,김이진,02-901-7252
제2회 크리스마스 마켓,기타(상권활성화),12.20~12.22,수유역 상권일대,대면,송형권,02-901-6456
제2회 미아달빛시장,기타(상권활성화),10월~11월중 2일간,미아사거리역 상권일대,대면,유보람,02-901-6452
제2회 광진청년문화Street페스티벌,문화예술,9월 중,능동로 일대,대면,김명진,02-450-7596
제2회 금천 청년축제,기타,09.28.(예정),관내(미정),대면,최서강,02-2627-2583
제6회 금천과학축제,문화예술(과학),09.06.~09.07.,금천구청 일대,대면,정아람, 02-2627-2813
2024 금천하모니축제,문화예술,05.10.~05.12.,구청광장,대면,장준석,02-2627-1445
2024년 제7회 정조대왕 능행차 공동재현 행사,전통역사,10.05-10.06.,금천구청 광장 및 시흥행궁터 일대(시흥5동),대면,이원지,02-2627-1453
감로천 축제,기타(주민화합 등),10.19.,감로천생태공원,대면,최은경,02-2104-5331
제4회 금천패션영화제,문화예술,11.01.~11.04.,금천구 가산동 일원(롯데시네마 가산디지털점),대면,장명화,070-7709-3219
노원 수제맥주축제,기타,5.31.~6.1.,화랑대 철도공원,대면,최석우,02-2116-7142
노원달빛산책,문화예술,10.11.~11.3.,당현천 일원,대면,최석우,02-2116-7142
댄싱노원,문화예술,9.28.~9.29.,노해로 일원,대면,최석우,02-2116-7142
우이천 벚꽃 축제,문화예술,04.03.~04.07.,우이천,대면,김진희,02-2091-2254
제12회 도봉구 등 축제,문화예술,10. 4. ~ 10. 12.,평화문화진지 및 다락원체육공원일대,대면,김진희,02-2091-2254
동대문구 봄꽃축제,생태자연,3.30.~3.31.,중랑천 제1체육공원 및 장안벚꽃로,대면,오지은,02-2127-4711
선농대제,전통역사,4.20.,선농단,대면,박상민,02-2127-4158
청룡문화제,전통역사,10.26.,용두근린공원,대면,전상미,02-2127-4299
제17회 마포나루 새우젓축제,"전통역사
특산물",10.18.~10.20.,월드컵공원 평화광장,대면,임신정,02-3153-8353
제21회 마포음식문화축제 ,기타(주민화합 등),10월 중,도화소어린이공원 ,대면,박병진,02-3153-8582
하늘길 페스타,기타(상권활성화),10. 4.~10.5.,합정동 ,대면,이현경,02-3153-8574
제4회 상암동 통통통 물통통 마을축제,기타,7월중(1일),구룡근린공원,대면,이윤선,02-3153-6963
2024년 연남동주민화합대축제,기타(주민화합),10월 중,경의선숲길공원 연남구간 끝자락,대면,양혜리,02-3153-6873
서대문 벚꽃 축제,문화예술,4월중,"홍제천, 안산일대",대면,이보라,02-330-1576
서대문독립축제,"문화예술, 전통역사",8월중,서대문형무소역사관,대면,이보라,02-330-1576
신촌글로벌대학문화축제,문화예술,9.25~9.27,신촌 연세로 일대,대면,이윤슬,02-330-6714
신촌카운트다운 콘서트,문화예술,12.31.,신촌 스타광장,대면,이윤슬,02-330-6714
봄밤의 클래식 축제,문화예술,4월중,방배뒷벌공원,대면,신지애,02-2155-6229
서초뮤직앤아트페스티벌,문화예술,6월중,고속터미널,대면,신지애,02-2155-6229
2024 서리풀페스티벌,문화예술,9월중,반포대로일대,대면,신지애,02-2155-6229
제18회 영등포 여의도 봄꽃축제,"문화예술, 생태자연",3월말 중,여의동,대면,전수린,02-2670-3128
선유로운 축제,문화예술,5월 중,양평2동,대면,김소영,02-2670-3428
안양천 썸머 페스티벌,생태자연,7월말~8월초,문래동,대면,전수린,02-2670-3128
선유로운 축제,문화예술,9~10월 중,양평2동,대면,김소영,02-2670-3428
안양천 수변문화축제,"문화예술, 생태자연",9월~10월 중,안양천,대면,조민우,02-2634-2234
2024 이태원 지구촌 축제,문화예술,9월 중,이태원관광특구 일대,혼합형(대면 중심),최영철,02-2199-7552
제42회 남이장군사당제,전통역사,11.1.~11.5.,용문동 일원,대면,이승연,02-2199-7245
용산 문화유산 야행,전통역사,9.27.~9.28.,효창공원,대면,이승연,02-2199-7245
인사동 엔틱 & 아트페어,전통역사,8.~10.,인사동 일대,대면,안미희,02-2148-1805
놀러와 대학로! 차 없는 거리 축제,문화예술,미정,대학로 일원,대면,박신형,02-2148-1812
2024 웰컴대학로 축제(가칭),문화예술,미정,대학로 일원,혼합형,박신형,02-2148-1812
제16회 정순왕후 문화제,전통역사,4월중,숭인근린공원(동망봉),대면,홍태경,02-2148-1855
궁중과 사대부가 전통음식축제,전통역사,10월중,운현궁,대면,이성민,02-2148-1852
종로청계야 놀자,문화예술,10월중,청계관광특구 내,대면,양슬기,02-2148-1864
돈화문로 문화축제,문화예술,10월중,돈화문로 일대,대면,김진아,02-2148-1862
북촌공방축제,문화예술,10월중,서울교육박물관 마당,대면,김진아,02-2148-1862
정동야행축제,문화예술,05.24.~05.25.,정동 일대,대면,박장호,02-3396-4613
2023 서울장미축제,문화예술,5월중,중랑장미공원,대면,이평천,02-2094-1823
2023 용마폭포문화예술축제,문화예술,10월중,용마폭포공원,대면,김진수,02-2094-1822
2024 성북천 봄꽃축제,기타,04.12~04.13(예정),성북천상점가일원,대면,박정민,02-2241-3972
제13회 유러피안 크리스마스 마켓,문화예술,12월 중(미정) 2일간,한성대입구역 부근,대면,강길원,02-2241-6381
사각사각 가을축제,문화예술,10월 중(2일간),잠실한강공원 사각사각플레이스,대면,이하연,02-3780-0799
조선통신사축제,전통역사,5.3.~5.5.,광복로 일원,대면,백종훈,051-888-5096
부산원도심활성화축제,문화예술,5월중,"중구,서구 일원",대면,임성원,051-888-5221
부산항축제,기타,"5월중
(예정)","부산항국제여객터미널, 영도아미르공원 일원",혼합형,이정민,051-888-5352
부산바다축제,문화예술,7월말,다대포해수욕장 등,대면,박지선,051-888-5222
부산국제록페스티벌,문화예술,10월중,삼락생태공원,대면,임성원,051-888-5221
부산불꽃축제,문화예술,11월중,광안리해수욕장 일원,대면,임태훈,051-888-5222
해운대북극곰축제,생태자연,12월중,해운대해수욕장,대면,임성원,051-888-5221
부산 시민의종 타종행사,문화예술,12.31.,용두산공원,대면,박지선,051-888-5222
광복로 연등문화제,문화예술,5월중,광복로 일원,대면,김지훈,051-600-4065
유라리건맥축제,지역특산물,9월중,유라리광장 일원,대면,김민선,051-600-4085
부산자갈치축제,지역특산물,10월중,자갈치시장 일원,대면,김민선,051-600-4085
보수동책방골목 문화축제,문화예술,10월중,보수동책방골목 일원,대면,최우영,051-600-4045
광복로 겨울빛 트리축제,문화예술,24.12.~25.1.,광복로 일원,대면,김민선,051-600-4085
부산고등어축제,지역특산물,10월중,송도해수욕장,혼합형,조연희,051-240-4062
부산 서구 의료관광축제,기타(지역산업),10월중,송도오션파크,대면,성명희,051-240-4017
부산차이나타운문화축제,문화예술,10.18.~10.20.,"부산역, 차이나타운 일원",혼합형,이정미,051-440-4062
동구 3.1절 기념 행사,문화예술,3.9.,시민마당 등,대면,김진용,051-440-4064
웹툰이바구길축제,문화예술,10월중,범일동 성북시장(웹툰이바구길) 일원,대면,백지수,051-440-4812
