거리명,거리소개,소재지도로명,소재지지번주소,관리기관전화번호
강풀만화거리,지역 유명 작가의 만화(웹툰)과 마을 이야기를공공미술로 재구성한 이야기 골목길,서울시 강동구 천호대로 164길 4-1,서울특별시 강동구 성내동 160-18번지,3425-6130
꽃바위 외국인 특화거리,"내국인 및 외국인의 자연스러운 방문과 활발한 문화교류의 글로벌 문화거리를 조성하고, 체계적인 가로정비를 통해 안전하고 쾌적한 거리를 조성하여 질높은 관광체험 제공 및 체류시간 연장으로 지역경제 활성화 유도",울산광역시 동구 남진길 52,울산광역시 동구 방어동 1146-33번지,052-209-3368
유엔참전기념거리,유엔평화문화특구 내 테마거리,부산광역시 남구 유엔평화로,부산광역시 남구 대연동 891-23,051-607-3651
왕십리여행자거리,모텔촌에 한국의 고유한 정서(대동여지도여행을 모티브로 로고제작)를 가미한 도로정비 및 담장특화를 통해 지역주민과 여행자들에게 매력적인 거리로 조성,서울특별시 성동구 왕십리로20길,서울특별시 성동구 왕십리도선동,02-2286-5193
마장동 축산물 특화 거리,"마장축산물 시장을 지역의 역사와 문화, 관광자원과 연계하여 지역주민들과 관광객이  즐길 수 있는 거리로 조성",서울특별시 성동구 마장로31길 40,서울특별시 성동구 마장동 510-3,02-2281-4446
문화의 거리,시장활성화+특색있는 거리 조성+보행환경개선를 위해 2009년도 조성,경상북도 영주시 구성로350번길,경상북도 영주시 영주동 377-3,054-639-6662
홍주골 음식문화 거리,70여곳의 음식점이 밀집되어 있는 T자형 음식문화거리,충청남도 홍성군 홍성읍 법원로 23,충청남도 홍성군 홍성읍 월산리 895-3,041-630-9015
웨딩거리,웨딩관련 업종의 상가가 밀집,전라북도 전주시 완산구 전라감영 2길+3길+4길+5길,전라북도 전주시 완산구 중앙동3가 102-5,063-281-5325
차이나거리,중국 소주시와 자매결연을 기념으로 조성된 거리,전라북도 전주시 완산구 전라감영 2길,전라북도 전주시 완산구 다가동1가 44-1,063-281-5325
솔동산문화의거리,"지역문화와 관광객 유치를 위해 가로등, 간판, 공원, 공연무대 등 도로 및 문화시설물을 정비 확충하여 가장 걷고 싶게 조성된 거리이다",제주특별자치도 서귀포시 솔동산로 2,제주특별자치도 서귀포시 서귀동 580-3,064-760-2485
녹동 음식특화거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,전라남도 고흥군 도양읍 봉암리 2786,061-830-5442
