번호,구분,화장실명,소재지도로명주소,소재지지번주소,전화번호,개방시간상세
1,개방화장실,강동구의회 화장실,서울특별시 강동구 성내로 55,서울특별시 강동구 성내동 541-1,02-3425-7365,09:00~18:00
2,공중화장실,삼표에너지 고덕주유소,서울특별시 강동구 고덕로 39,서울특별시 강동구 암사동 441-13,02-441-3327,06:00~24:00
3,공중화장실,㈜소모에너지 신월주유소,서울특별시 강동구 양재대로 1323,서울특별시 강동구 성내동 439-19,02-6956-6674,06:00~24:00
4,공중화장실,대성석유㈜ 길동주유소,서울특별시 강동구 천호대로 1168,서울특별시 강동구 둔촌동 66-1,02-474-7222,06:00~22:00
7,공중화장실,재건에너지재정제2주유소고속셀프지점,서울특별시 강동구 천호대로 1246,서울특별시 강동구 둔촌동 600-1,02-487-2030,06:00~24:00
9,공중화장실,명일주유소,서울특별시 강동구 고덕로168,서울특별시 강동구 명일동 305-51,02-3428-2739,06:00~21:00
10,공중화장실,천호 현대주유소,서울특별시 강동구 천중로 67,서울특별시 강동구 천호동 308-11,02-484-9323,06:00~24:00
12,공중화장실,구천면 주유소,서울특별시 강동구 구천면로 357,서울특별시 강동구 암사동 425-187,02-441-0536,06:00~23:30
13,공중화장실,㈜퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556,서울특별시 강동구 성내동 319-1,02-484-1162,05:00~24:00
14,공중화장실,방아다리 주유소,서울특별시 강동구 동남로 811,서울특별시 강동구 명일동 216-5,02-442-5145,05:00~24:00
15,공중화장실,해뜨는 주유소,서울특별시 강동구 상일로 132,서울특별시 강동구 강일동 712,02-442-5145,05:00~24:00
19,공중화장실,서울 암사동 유적 화장실,서울특별시 강동구 올림픽로 875,서울특별시 강동구 암사동 139-2,02-3425-6520,09:30~18:00
20,개방화장실,강동구보건소 화장실,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,02-3425-6604,09:00~18:00
21,개방화장실,강일동주민센터 화장실,서울특별시 강동구 아리수로93길9-14,서울특별시 강동구 강일동 678,02-3425-7400,(평일)09:00~18:00
22,개방화장실,상일1동 주민센터 화장실,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,02-2600-7895,(평일)09:00~18:00
23,개방화장실,상일2동주민센터 화장실,서울특별시 강동구 상일로6길 51,서울특별시 강동구 상일동 502-2,02-2041-7707,(평일)09:00~18:00
24,개방화장실,명일1동 주민센터 화장실,서울특별시 강동구 양재대로1634,서울특별시 강동구 명일동 312-99,02-3425-7460,(평일)09:00~18:00
25,개방화장실,명일2동주민센터 화장실,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,02-3425-7490,(평일)09:00~18:00
26,개방화장실,고덕1동주민센터 화장실,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,02-3425-7520,(평일)09:00~18:00
27,개방화장실,고덕2동주민센터 화장실,서울특별시 강동구 아리수로78길 43-12,서울특별시 강동구 고덕동 226-4,02-3425-7550,(평일)09:00~18:00
28,개방화장실,암사1동주민센터 화장실,서울특별시 강동구 올림로98가길 57,서울특별시 강동구 암사동 493-13,02-3425-7580,(평일)09:00~18:00
29,개방화장실,암사1동 자치회관 화장실,서울특별시 고덕로24길 49,서울특별시 강동구 암사동 474-6,02-442-2592,(평일)09:00~18:00
30,개방화장실,암사2동주민센터 화장실,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,02-3425-7610,(평일)09:00~18:00
31,개방화장실,암사3동주민센터 화장실,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,02-3425-7648,(평일)09:00~18:00
32,개방화장실,천호1동주민센터 화장실,서울특별시 강동구 구천면로42길 59,"서울특별시 강동구 천호동 76-2, 천호1동주민센터",02-3425-7670,(평일)09:00~18:00
34,개방화장실,성내3동 주민센터 화장실,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,02-3425-7822,(평일)09:00~18:00
35,개방화장실,둔촌2동주민센터 화장실,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,02-3425-7910,(평일)09:00~18:00
36,개방화장실,중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,02-2225-4306,08:30~17:30
