,주소,우편번호,전화번호,주차장 운영시간,주차장 이용료
0,전라북도 전주시 덕진구 기지로 120(중동),548-70,063-713-1800,09:00~18:00,무료
1,충청남도 공주시 사곡면 연수단지길 182국토정보교육원,325-22,041-401-0200,09:00~18:00,무료
2,전라북도 완주군 이서면 지사제2로 42한국국토정보공사 공간정보연구원,553-65,063-710-0300,09:00~18:00,무료
3,서울특별시 강남구 언주로 703(논현동),060-53,02-6937-2001,09:00~18:00,무료
4,서울특별시 성북구 안암동1가 고려대로7다길 8(안암동1가),028-50,02-6937-2330,09:00~18:00,무료
5,"서울특별시 성동구 광나루로 320-27층(성수동2가, 세진빌딩)",047-99,02-6937-2270,09:00~18:00,무료
6,"서울특별시 중랑구 망우로 3073층(상봉동, 리베로빌딩)",020-98,02-6937-2240,09:00~18:00,무료
7,서울특별시 강남구 봉은사로114길 302층 (삼성동),061-72,02-6937-2120,09:00~18:00,무료
8,서울특별시 강동구 풍성로 144(성내동),053-94,02-6937-2150,09:00~18:00,무료
9,"서울특별시 은평구 은평로 1813층(녹번동, 서일빌딩)",033-84,02-6937-2400,09:00~18:00,무료
10,"서울특별시 영등포구 당산로 987층(당산동1가, 세진빌딩)",072-65,02-6937-2370,09:00~18:00,무료
11,서울특별시 마포구 포은로 135(망원동),039-59,02-6937-2300,09:00~18:00,무료
12,"서울특별시 관악구 보라매로 213층(봉천동, 창암빌딩)",087-08,02-6937-2210,09:00~18:00,무료
13,"서울특별시 강서구 강서로 3964층(등촌동, 팬코타워)",075-83,02-6937-2180,09:00~18:00,무료
14,부산광역시 동래구 금강로 77(온천동),477-06,0517945000,09:00~18:00,무료
15,부산광역시 동구 중앙대로 193마린리더스타워 801호(초량동 1209-14),488-18,051-794-5180,09:00~18:00,무료
16,부산광역시 부산진구 신암로 1415층,473-44,0517945141,09:00~18:00,무료
17,"부산광역시 연제구 중앙대로 1138(7층, 연산동)",475-19,051-794-5100,09:00~18:00,무료
